Symbol;Name;Description
IWD;iShares Russell 1000 Value ETF;Large Cap Value Equities (US)
IWF;iShares Russell 1000 Growth ETF;Large Cap Growth Equities (US)
IWO;iShares Russell 2000 Growth ETF;Small Cap Growth Equities (US)
IWN;iShares Russell 2000 Value ETF;Small Cap Value Equities (US)
EFA;iShares MSCI EAFE ETF;Foreign Large Cap Equities (Developed Markets ex US)
IEMG;iShares Core MSCI Emerging Markets ETF; Large Cap Blend Equities (Emerging Markets)
TIP;iShares TIPS Bond ETF;Inflation-Protected Bonds (US)
GOVT;iShares U.S. Treasury Bond ETF;All Term Treasury Bond (US)
GLD;SPDR Gold Trust;Gold Trust Fund
VNQ;Vanguard REIT ETF;Real Estate Index Fund (US)
